"","SYMBOL","B","adj.P.Val"
"106","Wnt5a",1.87604463263877,0.00738126679414293
"107","Dctpp1",1.82419724577747,0.00738126679414293
"108","Actl6a",1.82181430433622,0.00738126679414293
"109","Gpx7",1.80010671223907,0.00738126679414293
"110","Ltbp2",1.79929224200706,0.00738126679414293
"111","Pcdhga1",1.78516021905154,0.00738126679414293
"112","Pcdhga10",1.78516021905154,0.00738126679414293
"113","Pcdhga11",1.78516021905154,0.00738126679414293
"114","Pcdhga12",1.78516021905154,0.00738126679414293
"115","Pcdhga2",1.78516021905154,0.00738126679414293
"116","Pcdhga3",1.78516021905154,0.00738126679414293
"117","Pcdhga4",1.78516021905154,0.00738126679414293
"118","Pcdhga5",1.78516021905154,0.00738126679414293
"119","Pcdhga6",1.78516021905154,0.00738126679414293
